conID,tstID,poiID,x,y
0,0,0,37.05131912231445,-30.371919631958008
0,0,1,14.38259983062744,-38.898231506347656
0,1,0,36.811279296875,-30.420459747314453
0,1,1,14.639100074768066,-38.837158203125
0,2,0,36.571388244628906,-30.468889236450195
0,2,1,14.899709701538086,-38.77484130859375
0,3,0,36.3317985534668,-30.517120361328125
0,3,1,15.162280082702637,-38.71128082275391
0,4,0,36.092750549316406,-30.565080642700195
0,4,1,15.426910400390623,-38.64775085449219
0,5,0,35.85414123535156,-30.612850189208984
0,5,1,15.69064998626709,-38.5836296081543
0,6,0,35.61602020263672,-30.660400390625
0,6,1,15.949560165405272,-38.51980972290039
0,7,0,35.37828826904297,-30.70783042907715
0,7,1,16.211729049682617,-38.45429992675781
0,8,0,35.1411018371582,-30.755189895629883
0,8,1,16.490829467773438,-38.38463973999024
0,9,0,34.904239654541016,-30.802610397338867
0,9,1,16.783899307250977,-38.31201171875
0,10,0,34.66748046875,-30.85014915466309
0,10,1,17.088029861450195,-38.23632049560547
0,11,0,34.43070983886719,-30.898239135742188
0,11,1,17.40106964111328,-38.158729553222656
0,12,0,34.1939811706543,-30.946609497070312
0,12,1,17.72178077697754,-38.079349517822266
0,13,0,33.957061767578125,-30.99526023864746
0,13,1,18.04858016967773,-37.99871826171875
0,14,0,33.72135925292969,-31.04437065124512
0,14,1,18.37970924377441,-37.91716003417969
0,15,0,33.486289978027344,-31.09458923339844
0,15,1,18.71388053894043,-37.834571838378906
0,16,0,33.2515983581543,-31.145980834960938
0,16,1,19.051000595092773,-37.75162887573242
0,17,0,33.01675033569336,-31.19770050048828
0,17,1,19.390079498291016,-37.66807174682617
0,18,0,32.78179168701172,-31.25016975402832
0,18,1,19.730209350585938,-37.58398818969727
0,19,0,32.547080993652344,-31.30377960205078
0,19,1,20.071430206298828,-37.49964141845703
0,20,0,32.31248092651367,-31.3585205078125
0,20,1,20.41216087341309,-37.41529846191406
0,21,0,32.078121185302734,-31.41349983215332
0,21,1,20.75172996520996,-37.33150100708008
0,22,0,31.84355926513672,-31.468780517578125
0,22,1,21.0902099609375,-37.24808883666992
0,23,0,31.609230041503903,-31.52433013916016
0,23,1,21.42765998840332,-37.1649284362793
0,24,0,31.37512969970703,-31.58012008666992
0,24,1,21.764089584350582,-37.081878662109375
0,25,0,31.14129066467285,-31.636110305786133
0,25,1,22.09864997863769,-36.99900817871094
0,26,0,30.907209396362305,-31.692310333251957
0,26,1,22.43125915527344,-36.91619873046875
0,27,0,30.67255973815918,-31.74876976013184
0,27,1,22.76094055175781,-36.8335189819336
0,28,0,30.437240600585938,-31.805700302124023
0,28,1,23.08853912353516,-36.75151824951172
0,29,0,30.201400756835938,-31.86302947998047
0,29,1,23.41440963745117,-36.66899871826172
0,30,0,29.964920043945312,-31.92078971862793
0,30,1,23.73838996887207,-36.58671951293945
0,31,0,29.72779083251953,-31.978979110717773
0,31,1,24.060169219970703,-36.50537872314453
0,32,0,29.49023056030273,-32.03744125366211
0,32,1,24.380090713500977,-36.42464065551758
0,33,0,29.253049850463867,-32.09605026245117
0,33,1,24.69738006591797,-36.34371948242188
0,34,0,29.016170501708984,-32.15486145019531
0,34,1,25.01214027404785,-36.26235961914063
0,35,0,28.779930114746094,-32.213748931884766
0,35,1,25.324710845947266,-36.18193054199219
0,36,0,28.543989181518555,-32.272830963134766
0,36,1,25.634220123291016,-36.10206985473633
0,37,0,28.308490753173828,-32.33197021484375
0,37,1,25.942249298095703,-36.0230712890625
0,38,0,28.07366943359375,-32.391021728515625
0,38,1,26.247800827026367,-35.94496154785156
0,39,0,27.839479446411133,-32.450191497802734
0,39,1,26.55195999145508,-35.86677932739258
0,40,0,27.60580062866211,-32.50941848754883
0,40,1,26.85335922241211,-35.78863906860352
0,41,0,27.372329711914062,-32.56869888305664
0,41,1,27.152559280395508,-35.71120071411133
0,42,0,27.139549255371094,-32.628108978271484
0,42,1,27.44890022277832,-35.63518142700195
0,43,0,26.90778923034668,-32.68758010864258
0,43,1,27.74148941040039,-35.560550689697266
0,44,0,26.6767692565918,-32.74720001220703
0,44,1,28.03101921081543,-35.4869499206543
0,45,0,26.44631004333496,-32.8070182800293
0,45,1,28.318260192871094,-35.4149284362793
0,46,0,26.216249465942383,-32.86688995361328
0,46,1,28.602760314941406,-35.34442138671875
0,47,0,25.98641014099121,-32.9268798828125
0,47,1,28.88394927978516,-35.275421142578125
0,48,0,25.757099151611328,-32.986820220947266
0,48,1,29.16200065612793,-35.20780944824219
0,49,0,25.52831077575684,-33.046730041503906
0,49,1,29.43692970275879,-35.14080810546875
0,50,0,25.299680709838867,-33.1067008972168
0,50,1,29.709449768066406,-35.0748291015625
