timestamp,x,y,z,length,width,height,rotation,class,occluded,track_id,tstID,poiID
1726,18.228409,4.661658,-1.179141,0.51675,0.479399,1.93879,0.032247,Cyclist,False,1,0,0
1726,26.232013,-3.194376,-1.30013,1.800665,0.488511,1.89498,-1.182454,Cyclist,False,2,0,1
1726,30.646464,-6.065858,-1.241454,1.597852,0.654697,1.901483,2.310847,Cyclist,False,3,0,2
1726,33.3539,-7.916413,-1.092913,0.53672,0.672505,1.788965,2.109225,Pedestrian,False,4,0,3
1726,30.188339,-8.416483,-1.152939,0.870689,0.575038,1.702988,-0.964078,Cyclist,False,5,0,4
1726,39.444524,-16.192983,-1.047509,1.095668,0.277512,1.736811,2.105438,Cyclist,False,6,0,5
1726,34.950083,-11.401585,-1.205042,1.538206,0.597052,1.909916,2.577774,Cyclist,False,7,0,6
1727,18.71689,4.372833,-1.197781,0.51675,0.498914,1.931334,-0.029947,Cyclist,False,1,1,0
1727,26.385211,-3.374624,-1.278093,1.800665,0.488511,1.89498,-1.182454,Cyclist,False,2,1,1
1727,30.479456,-5.876506,-1.243258,1.597852,0.663211,1.901483,2.324919,Cyclist,False,3,1,2
1727,33.194755,-7.740883,-1.150073,0.7904,0.689716,1.753415,2.073789,Pedestrian,False,4,1,3
1727,30.330527,-8.696639,-1.136029,0.870689,0.575038,1.669169,-0.964078,Cyclist,False,5,1,4
1727,39.323514,-16.041191,-1.050012,1.095668,0.282622,1.736811,2.105438,Cyclist,False,6,1,5
1727,34.8497,-11.202417,-1.196178,1.531634,0.597052,1.892188,2.455835,Cyclist,False,7,1,6
1729,19.205371,4.084008,-1.216421,0.51675,0.518428,1.923878,-0.092141,Cyclist,True,1,2,0
1729,26.538409,-3.554872,-1.256057,1.800665,0.488511,1.89498,-1.182454,Cyclist,False,2,2,1
1729,30.312447,-5.687155,-1.245063,1.597852,0.671725,1.901483,2.338991,Cyclist,False,3,2,2
1729,33.120217,-7.606187,-1.15842,0.767102,0.675113,1.770109,2.074609,Pedestrian,False,4,2,3
1729,30.521499,-8.945953,-1.138284,0.870689,0.575038,1.673678,-0.947043,Cyclist,False,5,2,4
1729,39.202505,-15.8894,-1.052516,1.095668,0.287732,1.736811,2.105438,Cyclist,False,6,2,5
1729,34.749317,-11.003248,-1.187314,1.525061,0.597052,1.87446,2.333895,Cyclist,False,7,2,6
1730,19.693853,3.795184,-1.235061,0.51675,0.537943,1.916422,-0.154335,Cyclist,True,1,3,0
1730,26.691606,-3.73512,-1.23402,1.800665,0.488511,1.89498,-1.182454,Cyclist,False,2,3,1
1730,30.145438,-5.497803,-1.246867,1.597852,0.680239,1.901483,2.353064,Cyclist,False,3,3,2
1730,33.045678,-7.471491,-1.166767,0.743805,0.660509,1.786803,2.075429,Pedestrian,False,4,3,3
1730,30.712471,-9.195267,-1.140538,0.870689,0.575038,1.678187,-0.930009,Cyclist,False,5,3,4
1730,39.081495,-15.737608,-1.055019,1.095668,0.292841,1.736811,2.105438,Cyclist,False,6,3,5
1730,34.648934,-10.80408,-1.17845,1.518489,0.597052,1.856732,2.211956,Cyclist,False,7,3,6
1732,20.182334,3.506359,-1.253701,0.51675,0.557458,1.908966,-0.216529,Cyclist,True,1,4,0
1732,26.844804,-3.915368,-1.211984,1.800665,0.488511,1.89498,-1.182454,Cyclist,False,2,4,1
1732,29.97843,-5.308451,-1.248671,1.597852,0.688753,1.901483,2.367136,Cyclist,False,3,4,2
1732,32.97114,-7.336794,-1.175114,0.720507,0.645906,1.803498,2.076249,Pedestrian,False,4,4,3
1732,30.903443,-9.444581,-1.142793,0.870689,0.575038,1.682697,-0.912975,Cyclist,False,5,4,4
1732,38.960486,-15.585816,-1.057523,1.095668,0.297951,1.736811,2.105438,Cyclist,False,6,4,5
1732,34.548551,-10.604911,-1.169587,1.511916,0.597052,1.839004,2.090016,Cyclist,False,7,4,6
